,transmission,cylinder,car_size,year,mpg_city,mpg_highway,displacement,Emb_dim1,Emb_dim2
833,manual,few,large,1993,16.0,19.0,2.6076,0.022354890318000652,-0.015344322615305814
834,auto,few,midsize,2008,18.0,24.0,2.4,0.02658148248361803,-0.025091489639791013
835,auto,few,midsize,1985,18.0,21.0,2.5584,0.010085814879253297,-0.009945414627205211
836,auto,medium,large,2007,15.0,20.0,4.0,0.02774794474107441,-0.020441075548655305
837,auto,medium,small,1987,16.0,21.0,2.2304,0.013891795030847575,-0.011896115081263607
838,manual,few,large,1987,18.0,21.0,2.46,0.012805413586690122,-0.011275462945951241
839,manual,medium,small,2008,19.0,28.0,2.7,0.026324133386701115,-0.02537920764588223
840,manual,medium,small,1989,15.0,23.0,5.002,0.03138635878788175,-0.019586752889370486
841,manual,few,small,1993,24.0,31.0,1.4924,-0.06698186640868344,-0.08101999372632926
842,auto,medium,large,2006,14.0,17.0,4.3,0.026094929891898273,-0.019329776154799767
843,auto,medium,midsize,2007,17.0,24.0,3.3,0.02658095595216254,-0.025271419035781312
844,manual,few,small,2005,23.0,32.0,1.6,0.010031423031758128,-0.03449257508986672
845,auto,few,small,2004,22.0,29.0,2.2,0.031477534981861545,-0.023098899084246866
846,auto,few,midsize,2008,24.0,30.0,2.5,0.01022037203716861,-0.03343355948816609
847,lock-up,medium,large,1989,16.0,23.0,6.2156,0.03551296067956581,-0.02299463957222614
848,manual,few,midsize,1988,22.0,27.0,1.7876,-0.013714196498598973,-0.048260080878513065
849,lock-up,medium,midsize,1994,18.0,24.0,2.4928,0.031575902997301744,-0.019990676356885347
850,manual,few,midsize,1986,23.0,31.0,1.8532,-0.05585057206846414,-0.07594840140401354
851,auto,few,midsize,2006,19.0,24.0,2.8,0.026693150011457115,-0.02482799178135507
852,auto,few,midsize,2002,15.0,20.0,2.2,0.029348377859320797,-0.021875263193983918
853,lock-up,medium,small,1986,15.0,22.0,5.74,0.02975896068062036,-0.019476008020292625
854,manual,few,midsize,2008,22.0,28.0,2.3,0.023695687241693915,-0.02734081968068708
855,lock-up,medium,midsize,1985,18.0,25.0,2.8372,0.0344503695632801,-0.021219217740022132
856,auto,few,midsize,1985,22.0,27.0,1.6072,0.00989200454836539,-0.03389140154942229
857,manual,few,midsize,1999,19.0,24.0,2.0,0.029965562623837087,-0.020648280449566063
858,lock-up,medium,midsize,1985,18.0,25.0,2.8372,0.03426582603738547,-0.022209384672326277
859,lock-up,medium,midsize,1985,15.0,23.0,2.9684,0.024317878676644845,-0.016143035712749172
860,lock-up,few,small,1993,21.0,29.0,2.1976,-0.040502532847903186,-0.06633330355943284
861,auto,medium,small,2003,15.0,22.0,4.0,0.030230531134851142,-0.023917255706149436
862,manual,medium,large,1985,14.0,17.0,4.2968,0.023764653547204324,-0.017505849495604422
863,auto,medium,midsize,2006,13.0,17.0,4.4,0.026231558808469765,-0.018253256968509483
