,age,sex,education,income,east-west,happiness,health,lived_abroad,orientation,Emb_dim1,Emb_dim2
860,39,Female,5,1188,West,10,5,No,9,-7.850918255757913,15.402379213548404
861,34,Male,5,3200,West,8,4,Yes,2,-8.45690048480283,-285.6166001128834
862,53,Female,3,350,East,6,2,Yes,6,-7.68755664310811,14.994876504112241
863,70,Male,2,690,West,8,2,Yes,3,-7.6979523577814675,15.019926491724831
864,65,Male,3,880,East,5,3,No,9,-7.860652361407439,15.427105657269998
865,66,Male,3,500,East,7,3,No,2,-7.24870685149246,13.889497728545988
866,20,Male,3,450,West,9,4,No,1,-7.520533241021891,14.580375854392376
867,76,Male,5,1600,East,10,5,No,3,-7.754773804387921,15.158862077323128
868,28,Male,3,1000,East,7,4,No,9,-7.862674967729049,15.432245347183473
869,28,Female,5,6250,West,9,4,Yes,6,546.1281407398508,7.7432084631181475
870,45,Male,5,2000,West,7,3,No,1,-7.848285759675321,15.395737564213084
871,27,Female,5,1400,East,8,4,No,2,-7.827392709216981,15.34277148779261
872,51,Male,2,720,West,2,1,No,9,-7.7149964045826955,15.06278364463326
873,68,Male,5,4500,West,9,5,Yes,6,7.856549724865403,1167.3894991683478
874,42,Male,5,400,West,8,4,Yes,1,-7.681695616818691,14.982263495208407
875,37,Female,5,1500,East,9,4,Yes,3,-7.8021477874123,15.278992432108232
876,43,Female,3,590,West,6,4,No,1,-7.517109942011736,14.564839437603503
877,60,Female,3,800,East,8,4,No,1,-7.516603694431252,14.564552975968033
878,79,Female,3,2000,West,10,3,Yes,5,-7.836760111513178,15.366486640543698
879,31,Male,2,1900,West,9,5,Yes,3,-7.862640656129822,15.432158138605935
880,52,Female,3,2200,West,9,4,No,2,-7.841779931754385,15.379244968993444
881,37,Female,5,1600,East,8,4,No,6,-7.799124951722229,15.271255450864743
882,27,Male,1,750,East,8,4,Yes,3,-7.691894194967122,15.004961871717073
883,65,Female,4,800,East,8,3,No,1,-7.503169636875207,14.53079805638105
884,62,Male,3,2875,West,7,3,No,2,-9.19319890381499,-609.2225452947478
885,35,Male,4,1500,East,8,3,No,9,-7.801128358529574,15.276410600061672
886,69,Male,3,1250,East,8,3,No,6,-7.84297734908205,15.382199033569968
887,42,Female,4,450,West,9,5,No,6,-7.565180503817278,14.69193954345957
888,56,Female,4,2070,East,7,3,No,6,-7.836422179969472,15.365574491949701
889,53,Female,3,450,East,2,1,No,11,-7.570408056173723,14.704985793382852
890,90,Male,4,3500,West,6,3,Yes,1,-6.304751882552195,25.501005322653963
891,75,Female,4,1063,East,5,2,No,9,-7.862570300992429,15.431979331474977
892,63,Male,3,1000,East,10,3,No,5,-7.859985312830022,15.425410249904713
893,73,Male,3,1625,East,8,3,No,9,-7.732968162284457,15.103600380170121
894,53,Male,5,4500,West,8,4,Yes,5,7.579415141221463,1150.0649596338162
895,64,Female,2,1300,West,10,4,No,6,-7.810035749312896,15.298755951075298
896,48,Male,3,2500,East,8,4,No,6,-7.862622464960167,15.432111936007834
897,70,Female,2,500,West,8,3,No,3,-7.231775245188868,13.846912603366611
898,68,Female,2,400,West,9,4,No,5,-7.66149998810185,14.93211466875169
899,28,Female,4,770,West,5,5,No,9,-7.66608106399593,14.940131793083621
