,age,sex,education,income,east-west,happiness,health,lived_abroad,orientation,Emb_dim1,Emb_dim2
718,80,Male,2,1200,West,5,4,Yes,6,-5.5519502425214674e-05,-9.133382930513826e-08
719,54,Female,2,1100,West,5,2,No,9,-5.629318755903667e-05,-8.565741076774212e-05
720,83,Female,2,1400,West,8,1,No,3,-3.188387109656415e-05,-5.7983027731446646e-05
721,70,Male,3,615,East,6,2,No,1,2.604229739822366e-05,-5.7495266060537606e-05
722,59,Male,2,1900,West,8,3,No,9,-1.4931589526586114e-05,-4.917998485112589e-05
723,51,Male,5,1900,West,5,4,Yes,1,-1.2808328192796727e-05,-4.929229394419303e-05
724,29,Female,5,1300,East,9,5,No,9,0.0007565018881688417,2.2711321813010166e-05
725,69,Male,4,1500,West,9,5,No,3,-5.986803519482299e-05,-9.751112706346524e-06
726,64,Female,2,1009,West,10,5,No,6,5.880741069005632e-06,2.3469100359520965e-05
727,58,Male,3,3400,West,9,2,No,5,7.686676302040301e-05,-0.00011571693084872635
728,46,Female,3,800,West,9,4,No,5,-0.00016625438369777257,-0.0003066338862094259
729,34,Female,5,2125,East,8,4,No,3,7.4114296137521505e-06,6.9651759174050355e-06
730,48,Female,3,1188,East,9,4,No,9,4.9486018862335806e-05,-5.645560486534212e-06
731,57,Male,5,6000,West,9,2,Yes,5,6.01878679194999e-05,-5.651881221153955e-06
732,70,Female,3,1800,West,8,4,No,6,4.118337572820178e-05,-9.103868259793818e-06
733,58,Female,5,3500,West,8,5,No,2,4.3769635208858515e-05,-8.092203406279184e-06
734,67,Female,2,450,West,10,4,No,2,5.53129815985187e-05,1.0087362890230696e-05
735,33,Female,3,1200,West,10,5,No,3,-3.5355435005942654e-05,-1.1579044261501731e-06
736,30,Male,3,2200,West,5,4,Yes,9,2.7153932621806537e-06,3.5035880922566885e-06
737,60,Male,3,1188,East,6,3,Yes,6,-5.901501201415089e-05,9.355980964272016e-08
738,44,Female,5,700,West,6,4,No,2,2.7662741216337135e-05,-5.75809798643908e-05
739,47,Female,5,2000,West,9,4,Yes,6,-0.1430555439785659,-0.0013053456661463944
740,44,Female,2,1100,West,10,2,No,9,-4.9677578283075646e-05,-8.600734087558028e-05
741,20,Male,3,680,East,8,5,No,6,1.7671943077806306e-05,-5.705252426810997e-05
742,25,Male,5,1000,West,8,4,No,9,-0.002480214034203315,0.26725080485125535
743,23,Male,5,2050,West,9,5,No,5,-0.07288667912640992,-0.0006512311849349375
744,32,Male,5,2450,West,8,4,Yes,3,0.000105350254078658,8.413399043437353e-05
745,51,Female,3,1700,East,8,4,No,5,9.324079885185757e-05,8.502637223666705e-05
746,62,Female,4,2750,West,8,4,No,2,-3.388753092772393e-05,1.1429070500137183e-05
747,68,Male,2,780,West,9,2,No,6,-4.622760203115521e-05,-0.00031298265667619807
748,57,Female,5,2125,West,9,5,No,2,1.2920264660317996e-05,6.673788205058079e-06
749,47,Female,3,1260,West,8,4,No,9,5.478592288063727e-05,-5.925896835026744e-06
750,63,Female,3,1875,East,9,4,No,6,4.654535617925319e-06,1.6135852200817163e-06
751,65,Female,3,900,East,6,3,No,1,0.00017333453087620132,0.0003483461866799556
752,52,Female,2,1900,West,8,5,No,2,1.5783362053950305e-05,-5.080464040488515e-05
753,66,Female,3,813,East,9,4,No,6,-5.669966126628165e-05,-0.0003124287411300315
754,50,Female,3,400,West,4,3,No,2,-6.756300672639428e-05,-6.396515209984611e-06
755,52,Male,5,3500,West,7,4,No,6,-3.3457712514946554e-05,-4.00729254521584e-06
756,38,Female,2,450,West,8,5,No,1,-4.9167191797682024e-05,1.5613801490448098e-05
757,61,Female,4,1500,West,5,3,Yes,2,-2.614563802577412e-05,-1.1534845937254799e-05
758,40,Male,3,2500,West,10,5,No,3,3.767092857303106e-05,-2.2944526381213268e-05
759,66,Male,2,1400,West,10,2,No,6,-8.751670367213851e-05,-5.504035044547051e-05
760,54,Male,3,1000,East,3,2,No,3,-0.0023861931693373306,0.26724583164475896
761,54,Male,4,4500,West,8,1,Yes,9,6.031213065439512e-06,-8.579059956354258e-05
762,74,Male,2,4000,West,9,3,Yes,3,-6.9404687702225095e-06,8.201978290981373e-06
763,29,Male,5,2400,West,9,5,No,3,7.158419276715594e-05,8.592003326132747e-05
764,24,Male,5,1000,West,8,4,Yes,2,-0.0024524810785491458,0.2672493379271774
765,44,Female,3,2300,East,8,4,No,1,6.109764427563328e-05,1.871467697851107e-05
766,44,Female,3,1250,East,8,3,No,1,3.775317515650494e-05,-5.024956203910485e-06
767,64,Male,5,1100,East,9,4,Yes,9,-8.66179652831648e-05,-8.405339331223059e-05
768,49,Male,3,3000,West,8,3,No,5,7.732179715373538e-05,3.0622973941518714e-05
769,63,Female,3,1400,East,9,2,No,6,-6.610709982919768e-05,-5.617280320783721e-05
770,49,Male,3,2500,West,7,5,No,6,3.657087939225271e-05,-2.2886339693658267e-05
771,76,Male,4,4500,West,8,5,Yes,6,-5.8145383323143124e-06,-8.516402309593489e-05
772,64,Female,5,50,East,10,5,Yes,3,-8.195499515063761e-06,-7.154783690415069e-07
773,74,Female,2,580,East,6,4,No,3,-5.897066283867998e-05,-4.880891134913939e-05
774,26,Female,1,399,West,4,2,No,3,-4.65175868860704e-05,-1.24205748107537e-05
775,34,Female,4,1100,West,8,3,Yes,3,-9.771374240132025e-05,-8.346648644470127e-05
776,51,Male,3,850,East,3,3,No,6,-4.544530159873109e-05,4.029106375480488e-06
777,91,Female,2,1200,West,6,4,No,3,5.396231624243097e-05,-5.882332526956068e-06
778,55,Female,4,800,West,8,5,No,5,-0.00016446990501854664,-0.0003067282755252615
779,76,Female,5,30,West,10,5,Yes,6,4.290791738609289e-05,-3.4185739542953624e-06
780,66,Female,2,850,West,9,3,No,3,-5.198876195891024e-05,4.375220195002031e-06
781,36,Female,2,1625,West,9,4,No,3,-1.1153266045375915e-05,4.095420170603115e-06
782,54,Female,3,714,West,3,3,No,2,2.211166781259299e-05,-5.7287352200988476e-05
783,54,Female,2,563,East,1,1,No,9,-6.764527181419425e-06,-4.8563462951746975e-05
784,54,Female,3,1800,West,6,3,No,3,-2.7835369549643416e-05,-5.453148257353328e-06
785,25,Male,3,2100,West,8,2,No,3,-0.0025034812963768823,1.4189466162606848e-06
786,40,Male,5,3200,West,9,4,No,4,5.2445096123151895e-05,-0.00018629461494156473
787,67,Male,3,8750,West,9,3,No,2,-6.309584115945892e-05,8.691628407900284e-07
788,48,Female,5,450,West,8,5,Yes,6,6.204135662796121e-05,9.73146808274515e-06
789,36,Female,2,450,West,10,5,No,2,-1.942889063010789e-05,1.4040805486044112e-05
790,75,Male,3,2200,West,8,1,No,6,3.200138296009964e-05,1.9545169273882072e-06
791,37,Female,5,1700,West,9,5,No,2,2.933746478390575e-05,8.840651451851902e-05
792,34,Female,3,1800,West,8,2,No,9,1.0015586677242627e-06,-6.978466480679541e-06
793,65,Male,5,4500,West,9,4,Yes,2,-4.877301311087545e-05,-8.28917510929464e-05
794,46,Female,5,4500,West,9,5,No,6,-3.973574363406663e-06,-8.526140018055634e-05
795,70,Female,5,150,West,8,3,No,2,2.409024177490689e-07,-1.1617186071195836e-06
796,73,Male,2,1063,East,5,4,No,9,-3.8838439166563815e-06,5.983526357522842e-06
797,37,Male,5,2300,West,9,5,Yes,2,-1.5778104934447667e-05,2.2780990171137908e-05
798,25,Female,5,1500,West,7,5,No,3,-1.732166377751975e-05,-1.2001586663935494e-05
799,52,Male,5,7300,West,9,4,No,3,3.1463660092497908e-06,-2.634693201154087e-06
800,63,Female,3,1875,West,8,5,No,2,3.648514337089604e-05,-7.008253697164841e-08
801,61,Male,2,2375,West,8,5,No,1,2.135350459250146e-05,8.857696621318578e-05
802,33,Female,5,2300,West,9,5,No,5,2.6297597664173603e-05,2.0555412061973402e-05
803,64,Male,2,1700,West,8,4,No,3,6.530249762108989e-05,8.65041579373796e-05
804,69,Male,2,1600,West,9,3,No,3,-2.3962559463814023e-05,2.2005366801733305e-06
805,43,Female,5,2875,East,9,4,Yes,3,3.4480237164149764e-05,7.812783687249819e-06
806,37,Male,3,1100,West,8,4,Yes,3,-9.796816542359012e-05,-8.345302883713822e-05
807,59,Female,3,1600,West,10,5,No,3,1.1631054750402133e-05,2.8691960981307277e-06
808,24,Female,4,1800,West,9,4,No,3,2.6090108072320504e-05,-8.30551565092486e-06
809,39,Male,5,1200,West,7,4,No,1,-4.623412988196892e-05,-5.824800438404425e-07
810,61,Male,2,2500,West,9,2,No,3,-2.6382594331489516e-05,-1.9556439749553083e-05
811,23,Male,5,500,West,7,3,No,2,-2.4392452437721304e-06,1.314214475216565e-05
812,64,Male,5,9500,West,8,4,No,5,-4.998580726939608e-05,1.757126223689294e-07
813,42,Male,5,6000,West,8,4,No,5,-3.0468193354277217e-07,-2.4521510589196416e-06
