,transmission,cylinder,car_size,year,mpg_city,mpg_highway,displacement,Emb_dim1,Emb_dim2
3013,manual,few,small,1987,23.0,33.0,2.0008,20.30165940479927,1.1680301001190216
13812,auto,medium,large,1999,15.0,19.0,4.2,-7.658733873280557,0.9834347647202922
12634,auto,medium,small,1998,16.0,21.0,3.0,-4.724256077228605,0.31335412378118666
8645,manual,medium,small,1992,15.0,24.0,5.002,1.1868712531524155,4.229361163926963
1883,manual,few,small,1986,24.0,30.0,1.5908,19.41739728136244,0.7985076300092447
9964,manual,few,small,1994,21.0,26.0,1.5908,7.851151186889258,-0.5795342323869322
11780,manual,few,small,1996,26.0,33.0,1.6072,15.060194703052643,-7.064948839143243
17158,auto,medium,midsize,2003,18.0,26.0,3.0,-1.9916621536130217,-9.50087448201278
17967,auto,medium,small,2004,18.0,25.0,3.0,-3.5981859049120635,-10.59929462066228
5106,manual,few,small,1989,18.0,29.0,2.0008,12.251882593518518,1.7617166543917457
8124,manual,medium,midsize,1992,15.0,22.0,3.7884,0.09488426478733693,6.023994642941791
14823,auto,medium,midsize,2000,13.0,17.0,5.7,-12.39340913244422,4.750038536699335
18753,auto,medium,midsize,2004,15.0,19.0,3.5,-11.428353634909296,-6.109098456933564
11198,manual,few,small,1995,21.0,29.0,1.9844,9.430555504033997,-3.5481285280024304
1517,auto,few,small,1985,21.0,26.0,2.214,14.261627213049174,8.243757751926305
14607,auto,few,large,2000,17.0,24.0,2.2,-2.12222118881677,-4.7974835039709145
23076,manual,medium,large,2008,15.0,19.0,3.7,-14.78329424246605,-7.749471774129741
18117,auto,few,small,2004,19.0,26.0,2.4,-1.8219518694875452,-11.773416494910775
10139,lock-up,medium,large,1994,16.0,20.0,4.2968,-2.809293845527503,4.635329841628269
6401,manual,medium,large,1990,11.0,17.0,5.74,-9.749920527287657,17.363754086138844
13899,auto,medium,large,1999,15.0,20.0,4.3,-6.933185514652774,0.37407585947801897
14606,manual,medium,large,2000,15.0,21.0,4.3,-6.861734352970015,-1.3095560471229502
19436,auto,medium,midsize,2005,18.0,27.0,3.5,-3.2640264995708854,-12.054094462546807
10544,lock-up,few,small,1995,19.0,26.0,1.8368,4.9263739471716725,-0.1546381527521318
3166,auto,few,midsize,1987,21.0,24.0,2.214,11.71681285078803,10.712353549704511
22406,manual,few,small,2008,19.0,25.0,2.4,-5.55473627944511,-15.843054838687841
21442,auto,few,small,2007,21.0,26.0,2.3,-1.8421974447716234,-16.099548339629408
7836,lock-up,medium,large,1991,10.0,15.0,5.7564,-9.799189597588752,15.683399875348705
1763,lock-up,few,large,1985,18.0,21.0,2.0008,6.684712160215929,11.526753714181769
9995,lock-up,few,large,1994,18.0,22.0,2.5584,1.080572410898234,2.308502970472212
10949,manual,medium,large,1995,17.0,23.0,3.0012,-0.20879173245302715,1.3610845787328145
3301,auto,few,small,1987,21.0,23.0,1.7876,10.286522711893074,11.227788369180676
3942,auto,medium,large,1987,11.0,14.0,3.69,-8.02881077420895,19.929238401172157
12513,manual,medium,small,1998,13.0,20.0,3.2,-7.889369959074118,1.699196407315781
9484,manual,few,small,1993,18.0,26.0,2.0008,5.765631063542361,1.8924026052782228
6513,manual,medium,large,1990,13.0,17.0,5.002,-5.440942972768348,12.810762225747276
16510,auto,medium,large,2002,14.0,17.0,4.3,-15.504175672197993,3.3678894208743237
12485,lock-up,medium,large,1997,15.0,21.0,4.2968,-5.719436321653412,2.3276277521838957
21746,auto,medium,midsize,2007,18.0,26.0,2.5,-3.7743898331786867,-13.339294854124649
6990,manual,few,small,1991,24.0,33.0,1.8368,18.885325729223798,-2.176758543255533
1681,lock-up,medium,large,1985,16.0,22.0,4.2968,5.668004338303225,12.762275793539082
571,manual,few,midsize,1985,23.0,30.0,2.214,19.937367778865397,1.307614354837455
12122,lock-up,medium,midsize,1997,17.0,27.0,3.7884,2.332174442233862,-3.229023543271285
8366,lock-up,medium,large,1992,16.0,22.0,6.2156,-0.9988217141736897,5.631662169979202
23415,auto,medium,midsize,2008,9.0,12.0,4.7,-25.628775743700835,-2.0394906199702594
13454,manual,few,small,1999,24.0,32.0,2.0,10.52804857263863,-12.074389301479489
149,auto,few,small,1985,23.0,29.0,1.8532,20.502826738100364,1.2520959139376748
902,auto,few,midsize,1985,23.0,29.0,1.8532,20.502826738100378,1.2520959139376768
9539,manual,few,small,1993,33.0,39.0,1.2956,26.463692240463313,-8.344871925437623
