,age,sex,education,income,east-west,happiness,health,lived_abroad,orientation,Emb_dim1,Emb_dim2
69,76,Female,2,1500,East,9,3,No,1,48.38774108886719,4.112631320953369
70,38,Male,4,2500,West,10,3,No,5,22.31087303161621,21.479978561401367
71,80,Female,2,200,West,8,3,No,3,30.150789260864258,-19.491880416870117
72,42,Female,3,404,East,5,2,No,11,26.292495727539062,-14.794736862182617
73,18,Male,5,800,West,8,4,Yes,6,3.9982540607452393,4.21856689453125
74,62,Female,3,1300,East,8,5,No,6,-13.425748825073242,-44.452789306640625
75,62,Female,3,688,West,8,4,No,3,12.503331184387207,-0.19441430270671844
76,81,Male,2,1313,East,6,2,No,9,-12.696756362915039,-45.0709342956543
77,42,Female,5,2400,West,8,2,No,3,22.57076072692871,26.234315872192383
78,57,Male,5,950,West,5,2,No,1,-2.7785863876342773,16.87318229675293
79,76,Male,2,900,East,8,2,No,9,-1.049675464630127,12.541691780090332
80,48,Female,5,2000,West,8,4,Yes,2,-22.489498138427734,31.59284210205078
81,53,Male,2,680,East,5,2,No,9,12.75882339477539,-0.855149507522583
82,77,Male,4,3300,West,8,3,No,6,-30.502119064331055,3.2297282218933105
83,67,Female,3,500,West,10,4,Yes,5,21.012516021728516,-9.12901782989502
84,37,Female,5,1200,East,7,5,Yes,6,-19.87554931640625,-37.30892562866211
85,33,Male,3,1220,East,6,3,No,4,-18.816179275512695,-38.377193450927734
86,64,Male,5,3500,East,9,4,No,3,-33.55218505859375,1.8816014528274536
87,64,Male,4,688,East,8,5,No,6,12.574278831481934,-0.1344689279794693
88,57,Male,5,3000,West,6,3,No,2,-24.321014404296875,5.163321018218994
89,51,Male,3,1500,East,5,3,No,3,47.0864143371582,1.5656156539916992
90,40,Female,4,2050,West,9,4,No,6,15.854833602905273,37.97195053100586
91,67,Male,5,1800,West,6,4,No,6,-3.181018114089966,-20.425216674804688
92,30,Female,5,875,West,8,5,Yes,2,0.877788782119751,12.751773834228516
93,57,Male,3,1300,East,9,4,No,1,-13.464409828186035,-44.237579345703125
94,59,Male,5,3750,West,9,4,No,6,-38.1633415222168,0.2893621325492859
95,47,Female,3,1188,East,5,3,No,3,-21.012657165527344,-36.273193359375
96,33,Male,5,2400,West,8,5,Yes,2,22.606210708618164,25.885770797729492
97,90,Male,2,2125,West,9,3,Yes,5,19.199281692504883,37.155826568603516
98,24,Male,5,700,West,9,5,Yes,6,10.624884605407715,-1.6046727895736694
99,22,Female,5,280,West,9,4,No,1,29.747095108032227,-18.159391403198242
100,64,Female,5,564,West,9,5,No,5,17.978004455566406,-5.871771812438965
101,34,Female,3,280,East,9,5,No,11,29.58099937438965,-18.25471305847168
102,53,Male,5,1500,East,8,3,No,3,47.234920501708984,1.8054226636886597
103,23,Female,5,1200,West,9,5,Yes,2,-18.924806594848633,-37.0787239074707
104,49,Female,5,1313,West,10,5,No,6,-12.842896461486816,-43.92502212524414
105,73,Female,2,960,East,9,4,No,6,-3.366558790206909,17.33666229248047
106,51,Male,5,2875,West,4,4,Yes,2,-20.303997039794922,6.424801349639893
107,64,Female,3,1400,East,8,3,No,2,-5.731213092803955,-47.155418395996094
108,25,Female,5,1082,West,8,2,No,2,-2.3337535858154297,47.30820083618164
109,27,Male,3,1579,West,8,5,No,6,9.688851356506348,-32.68743896484375
110,73,Female,3,813,East,8,4,Yes,2,4.324375152587891,7.263144016265869
111,23,Male,3,700,West,6,3,No,1,10.58393669128418,-1.6443034410476685
112,24,Female,4,300,East,9,4,No,2,29.536312103271484,-17.810644149780273
113,84,Female,1,2000,West,10,3,No,3,-24.769878387451172,33.96064758300781
114,27,Male,5,1500,East,9,5,No,3,45.70512390136719,-0.5845237374305725
115,49,Female,4,2096,West,4,2,Yes,2,17.706565856933594,37.17247009277344
116,76,Male,2,1150,West,8,4,No,1,-24.556507110595703,-34.756839752197266
117,46,Male,3,2000,East,9,4,No,4,-22.121379852294922,31.58781623840332
118,53,Female,5,1000,West,9,2,No,6,-4.251410007476807,20.339990615844727
119,25,Male,3,1300,West,8,3,No,6,-13.504291534423828,-43.09791564941406
120,54,Female,3,1500,West,7,4,No,3,47.231834411621094,1.9783943891525269
121,76,Female,2,700,East,9,4,No,5,12.345016479492188,0.6108103394508362
122,76,Male,2,1438,West,10,4,No,3,-3.8375487327575684,-48.092350006103516
123,39,Female,5,1200,West,9,5,No,6,-20.071895599365234,-37.33976745605469
124,28,Male,3,2000,West,3,4,No,9,-20.706205368041992,30.574440002441406
125,48,Female,5,1600,West,5,3,Yes,1,7.5260090827941895,-32.67757797241211
126,45,Female,3,2200,East,9,4,No,3,20.268529891967773,33.499969482421875
127,65,Female,5,1500,East,8,5,No,6,47.692440032958984,3.2962539196014404
128,71,Male,2,1200,West,10,5,No,3,-24.299644470214844,-37.84435272216797
129,67,Female,3,850,West,10,5,No,6,1.48222815990448,9.775416374206543
130,52,Male,5,4500,West,7,3,No,6,-42.04398727416992,-1.846782922744751
131,57,Male,2,350,East,5,1,No,9,28.078136444091797,-16.99197006225586
132,20,Female,2,300,West,8,4,Yes,3,29.5988826751709,-17.79003143310547
133,55,Male,3,2300,West,8,5,Yes,6,22.05108070373535,30.467742919921875
134,67,Female,5,2400,West,10,4,No,3,23.306196212768555,26.459272384643555
135,54,Male,4,3550,West,8,4,No,6,-34.1500244140625,2.093543291091919
136,74,Female,2,1200,East,8,4,No,3,-24.597850799560547,-37.950355529785156
137,57,Male,5,6250,West,9,5,Yes,1,-46.04605484008789,-3.4392778873443604
138,71,Female,3,1188,West,8,4,No,5,-24.322355270385742,-36.90411376953125
139,73,Male,5,2500,East,9,3,No,9,22.05586051940918,20.45183753967285
140,54,Female,3,2000,East,8,4,No,6,-22.82133674621582,32.42168426513672
141,20,Female,5,1400,East,8,5,Yes,9,-6.598130702972412,-48.72394561767578
142,33,Male,5,3300,West,9,4,No,3,-30.463293075561523,3.243295669555664
