,transmission,cylinder,car_size,year,mpg_city,mpg_highway,displacement,Emb_dim1,Emb_dim2
14369,auto,few,small,2000,19.0,27.0,2.2,0.11654277474484191,-0.357039811334353
6879,auto,medium,large,1990,14.0,16.0,3.9196,-0.22095332280688829,0.5737896920991266
4221,lock-up,medium,midsize,1988,17.0,24.0,2.9684,-0.47972862118061216,0.13505337906289622
1693,lock-up,few,large,1985,18.0,24.0,2.4764,-0.4130910087819184,0.060970245920733794
36,manual,medium,small,1985,17.0,24.0,2.8372,-0.401672919412866,0.09822213921450491
8429,lock-up,medium,large,1992,14.0,17.0,3.9196,-0.19253106112096827,0.6072159222977421
255,auto,few,small,1985,16.0,20.0,1.9844,-0.3305033053694454,0.2749412515686506
14249,auto,few,small,2000,23.0,31.0,1.6,0.014376927072741566,-0.42580166309885575
1066,lock-up,medium,large,1985,11.0,15.0,4.9528,-0.1956133064656855,0.4407309623686956
14351,auto,few,small,2000,23.0,30.0,1.8,0.022881749208610715,-0.4247765229977152
7742,manual,few,small,1991,22.0,29.0,1.5908,-0.3631750101715269,-0.439352425812387
3407,lock-up,few,midsize,1987,21.0,24.0,1.7876,-0.3973061523633714,-0.08897818945165897
14213,auto,medium,small,2000,16.0,23.0,4.0,0.19903536801464017,-0.01708413633284684
19315,manual,few,small,2005,21.0,29.0,1.8,0.22702772874059593,-0.41636925059659696
2553,lock-up,few,small,1986,19.0,26.0,1.9844,-0.446523897101756,-0.12722079077606877
20328,auto,medium,small,2006,18.0,26.0,3.3,0.41467329153336613,-0.3755058307942028
13382,auto,few,small,1999,19.0,27.0,2.4,0.05183711426448886,-0.33332871729621394
4112,lock-up,few,small,1988,21.0,31.0,2.2632,-0.38357930938750884,-0.39713518196927616
11614,lock-up,medium,large,1996,13.0,17.0,5.74,0.01159859522032212,0.4825336960993649
8157,lock-up,few,midsize,1992,21.0,25.0,2.4928,-0.2676815571687954,-0.179934452678983
21685,manual,medium,midsize,2007,15.0,25.0,3.1,0.38864056220080845,-0.20768946799165336
7051,manual,few,small,1991,22.0,29.0,1.7876,-0.36564086079511365,-0.44040010269395896
16091,auto,few,small,2002,21.0,29.0,2.2,0.15643457450779355,-0.41772730862719776
7015,manual,few,small,1991,18.0,26.0,1.9024,-0.3215709408555011,-0.12114369927625296
4420,lock-up,few,midsize,1988,24.0,30.0,1.4924,-0.3732607792045245,-0.4029436897790401
14688,manual,medium,large,2000,13.0,17.0,4.7,0.2622555630649565,0.3739848097200866
17991,auto,few,small,2004,31.0,38.0,1.9,0.006791848154439011,-0.28035828982987576
3774,auto,medium,small,1987,8.0,10.0,6.7568,-0.13175068510515295,0.38652172770191817
1617,manual,few,small,1985,22.0,32.0,1.6072,-0.32304314806286344,-0.3096289208991667
19068,auto,medium,small,2005,13.0,20.0,3.6,0.5772471352651671,0.2509270745693956
6136,auto,medium,small,1990,15.0,20.0,2.8536,-0.34200587736990656,0.42682778400030963
15290,auto,few,midsize,2001,18.0,27.0,2.4,0.16738437340321774,-0.3354473292805985
11197,lock-up,few,small,1995,19.0,26.0,1.9844,-0.1349618821541358,-0.2258767816498319
15796,manual,few,midsize,2001,18.0,26.0,2.5,0.19173300952993796,-0.29570482256185127
21725,auto,few,midsize,2007,23.0,31.0,2.0,0.1740310426320887,-0.35297348802466005
17257,auto,few,midsize,2003,23.0,29.0,1.8,0.1495294185671343,-0.39977033556242003
15403,manual,medium,midsize,2001,15.0,22.0,2.7,0.28381186415673093,0.07626095604473598
8247,lock-up,few,small,1992,23.0,29.0,1.4924,-0.31610381526938114,-0.4502378638700816
3718,manual,few,small,1987,29.0,35.0,1.476,-0.2363074821913484,-0.31113547908900663
22732,auto,few,midsize,2008,21.0,30.0,2.4,0.21646988086285682,-0.3201980582313729
12083,lock-up,medium,midsize,1997,18.0,26.0,2.46,-0.011958941381604415,-0.22254100931645918
22649,auto,few,small,2008,23.0,31.0,2.0,0.17540650813286437,-0.32816169587405397
1613,manual,medium,small,1985,9.0,15.0,2.9356,-0.17840584572434598,0.40434148331477576
5929,manual,medium,large,1989,14.0,17.0,4.92,-0.27323405512279625,0.5782404922722494
22493,auto,few,small,2008,22.0,31.0,2.2,0.18624437192256205,-0.3204501757185722
18371,manual,medium,midsize,2004,18.0,26.0,2.5,0.38881033791783415,-0.4071078648434461
14,lock-up,medium,small,1985,15.0,20.0,3.4276,-0.3325339974984115,0.3601869175853094
21773,manual,few,large,2007,18.0,24.0,2.9,0.4356544060165817,-0.28585310367879285
13533,manual,medium,small,1999,17.0,26.0,2.5,0.07947590252310047,-0.2197711703743925
18759,manual,few,midsize,2004,17.0,22.0,2.4,0.43724921927401617,-0.04859172933998758
22192,auto,medium,midsize,2007,13.0,19.0,4.6,0.49563160964486364,0.2314168744714003
2755,manual,few,small,1986,19.0,24.0,2.296,-0.4315657566203802,0.01365321841560061
18999,manual,medium,small,2005,14.0,21.0,3.6,0.5485203897402264,0.14763428643620877
4845,lock-up,medium,small,1988,15.0,22.0,4.0836,-0.3794392578518513,0.3234957737942223
4920,lock-up,medium,large,1988,15.0,20.0,4.2968,-0.37810948153336815,0.4664904505875366
934,lock-up,few,midsize,1985,21.0,23.0,2.0008,-0.333878863919764,-0.021685590193382405
20420,manual,few,midsize,2006,23.0,31.0,2.4,0.16715349699000856,-0.3733816392827963
3506,lock-up,medium,large,1987,13.0,16.0,5.74,-0.2422938526703349,0.5188798981206055
1070,auto,medium,large,1985,10.0,12.0,5.7564,-0.16140125815333142,0.39145533026017676
12637,auto,few,small,1998,17.0,23.0,2.0,0.07802208348169988,-0.04160269103631884
14608,auto,few,large,2000,17.0,23.0,2.2,0.18205572191109834,-0.0662067141931207
9622,lock-up,medium,large,1993,15.0,20.0,4.2968,-0.18701117503191603,0.40361335841559054
2259,manual,few,large,1986,19.0,25.0,2.0008,-0.4387755367096897,-0.06306631365807097
12176,lock-up,few,small,1997,18.0,25.0,2.3944,-0.020538892693235968,-0.18860219433032244
17697,auto,medium,midsize,2003,14.0,19.0,4.0,0.5618358046008194,0.317955974002371
1793,auto,medium,large,1985,11.0,14.0,3.69,-0.18818871774803936,0.4194106416633876
11693,manual,medium,large,1996,13.0,16.0,4.9528,0.010715281993442325,0.47318991356293977
22866,auto,medium,large,2008,19.0,29.0,3.5,0.26150521803920096,-0.3147398483610656
12581,auto,medium,small,1998,17.0,26.0,3.8,0.03083638071395273,-0.18993269128645573
4086,manual,few,small,1988,21.0,30.0,2.4764,-0.40812804140438075,-0.39073673021974387
19954,auto,medium,midsize,2005,13.0,17.0,5.4,0.49713845869699863,0.29273485561378226
20365,auto,medium,midsize,2006,18.0,26.0,3.2,0.41467329153336585,-0.37550583079420347
11636,lock-up,medium,large,1996,16.0,22.0,3.0012,-0.028388431939817563,0.11637785151551933
23168,auto,medium,large,2008,16.0,23.0,3.8,0.4179146036759603,-0.11474992237609741
18170,auto,few,small,2004,19.0,26.0,1.8,0.3561455544332218,-0.42610130883185343
16074,auto,medium,small,2002,15.0,20.0,5.4,0.41296350708376567,0.22836457635205382
18650,auto,few,large,2004,18.0,24.0,2.4,0.4325652695536524,-0.3034494686034355
578,manual,few,midsize,1985,22.0,27.0,2.214,-0.40086686202032523,-0.2281460846173124
10390,manual,few,small,1994,23.0,27.0,1.5908,-0.20034304079764453,-0.3359604388194816
21553,auto,medium,midsize,2007,17.0,25.0,4.6,0.40597586872819036,-0.2632245760155932
1896,auto,few,small,1986,21.0,26.0,2.296,-0.43320980888333505,-0.19007280419251382
1319,auto,few,small,1985,21.0,24.0,2.214,-0.3689540540697231,-0.08275336405329249
21729,manual,few,midsize,2007,19.0,25.0,2.3,0.3938151012760795,-0.34211572841412236
6032,lock-up,few,small,1990,17.0,23.0,2.1812,-0.39836094553790885,0.15001126505509893
18618,auto,medium,large,2004,14.0,17.0,5.3,0.5032222966045358,0.308079523581279
22140,auto,few,midsize,2007,21.0,27.0,2.4,0.291678200562989,-0.37226439018836316
10002,manual,medium,large,1994,17.0,21.0,2.9684,-0.15357357164162896,0.16272291553340207
17497,auto,medium,large,2003,13.0,17.0,4.6,0.4569542158859869,0.3234122977193609
15309,auto,medium,midsize,2001,15.0,22.0,4.0,0.29648204799936634,0.09285244254140644
7162,auto,few,midsize,1991,16.0,19.0,2.0008,-0.23379474877533224,0.3396091530393309
16242,manual,few,midsize,2002,19.0,29.0,1.8,0.19109964137567062,-0.4229740666471135
11499,manual,few,midsize,1996,22.0,33.0,2.0008,-0.1434333932289275,-0.4276230422731828
21889,manual,medium,large,2007,15.0,20.0,3.0,0.49038487894455984,0.10918768040674712
18424,auto,medium,midsize,2004,17.0,24.0,3.0,0.46453369613137707,-0.25850119219621287
13282,auto,medium,midsize,1998,11.0,15.0,4.6,0.10370137731898048,0.3914068805574063
38,lock-up,medium,small,1985,15.0,20.0,5.0348,-0.32338738024244196,0.36617418389059336
2007,lock-up,medium,large,1986,17.0,27.0,3.7884,-0.3496306429118431,-0.04993734251628412
15352,manual,few,midsize,2001,22.0,30.0,2.2,0.07173759521693743,-0.4223562399135818
19990,auto,medium,midsize,2005,13.0,17.0,5.3,0.49713845869699896,0.29273485561378215
1736,manual,medium,large,1985,15.0,17.0,4.2968,-0.26614189012413153,0.3848038684413832
2607,lock-up,few,small,1986,21.0,26.0,1.9516,-0.43527034782276675,-0.19377112756884365
7207,manual,few,midsize,1991,18.0,24.0,2.3124,-0.3350212411358211,0.024835978185909886
9709,manual,few,small,1994,26.0,35.0,1.886,-0.1787405914969184,-0.39842210087083335
18951,manual,medium,small,2005,18.0,26.0,2.5,0.4187254492214213,-0.40385932673406133
23511,auto,medium,midsize,2008,17.0,23.0,3.5,0.4074314754603868,-0.166177381126689
